,Monday Occupancy,Tuesday Occupancy,Wednesday Occupancy,Thursday Occupancy,Friday Occupancy,Saturday Occupancy,Sunday Occupancy
12am-2am,1404,1764,907,1135,1024,1593,1752
2am-4am,2,0,201,0,91,125,28
4am-6am,109,0,3,0,232,126,241
6am-8am,701,658,304,1616,276,186,2
8am-10am,269,344,134,79,482,145,864
10am-12pm,711,730,157,107,607,606,759
12pm-2pm,657,562,532,372,555,540,623
2pm-4pm,359,342,103,407,793,379,354
4pm-6pm,708,599,466,163,400,847,439
6pm-8pm,402,492,450,410,412,399,976
8pm-10pm,923,598,433,650,880,945,618
10pm-12am,250,109,162,173,184,276,188
