,Slots,Monday occupancy minutes,Tuesday occupancy minutes,Wednesday occupancy minutes,Thursday occupancy minutes,Friday occupancy minutes,Saturday occupancy minutes,Sunday occupancy minutes
0,12am-2am,2027,450,1574,900,694,462,2219
1,2am-4am,0,0,0,0,0,0,0
2,4am-6am,0,0,0,0,0,0,0
3,6am-8am,969,2608,1475,1187,1188,682,1233
4,8am-10am,1711,1070,1491,771,540,746,788
5,10am-12pm,937,1571,561,1450,1069,1006,468
6,12pm-2pm,215,754,365,737,667,2304,639
7,2pm-4pm,1131,540,1176,201,860,147,386
8,4pm-6pm,152,467,328,602,668,317,298
9,6pm-8pm,1103,1030,1131,1946,932,849,481
10,8pm-10pm,229,158,46,22,16,90,420
11,10pm-12am,0,2,2,80,0,210,1
